round,region_bl,stud_sex_bl,school_name_bl,treatment,stud_level_baseline,stud_level_endline,innumeracy_bl,innumeracy_el,numeracy_bl,numeracy_el,learned_new_operation,level_diff,facilitator_id_bl
R7,South East,Male,Tshiamo,Phone Call Only,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM224427151
R7,South East,Male,Boswa,Phone Call and SMS,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM224427151
R7,Kgatleng,,Isang,Phone Call Only,Subtraction,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM224427151
R7,South East,Male,Boswa,Phone Call and SMS,Subtraction,,Can at least add,,Cannot divide,,,,CM224427151
R7,Kgatleng,,Matebele,Phone Call and SMS,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1910086
R7,North East,,Ramokgwebana,Phone Call Only,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM224427151
R7,South East,,Boswa,Phone Call and SMS,Multiplication,,Can at least add,,Cannot divide,,,,CM224427151
R7,Other,,Kasane,Phone Call Only,Beginner,Beginner,Cannot add,Cannot add,Cannot divide,Cannot divide,No,No Progress,CM224427151
R7,South East,Male,Boswa,Phone Call Only,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM224427151
R7,North East,,Nlaphwane,Phone Call Only,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM224427151
R7,Other,Male,Lesoma,Phone Call Only,Subtraction,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM224427151
R7,Kgatleng,,Linchwe,Phone Call and SMS,Subtraction,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 2 levels,CM224427151
R7,North East,,Jackalas No.1,Phone Call Only,Beginner,Beginner,Cannot add,Cannot add,Cannot divide,Cannot divide,No,No Progress,CM224427151
R7,North East,,Nlaphwane,Phone Call and SMS,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM224427151
R7,Kgatleng,,Oodi,Phone Call and SMS,Subtraction,,Can at least add,,Cannot divide,,,,CM224427151
R7,South East,Male,Kgosikgosi,Phone Call Only,Beginner,,Cannot add,,Cannot divide,,,,CM1910086
R7,North East,,Mapoka,Phone Call Only,Beginner,Beginner,Cannot add,Cannot add,Cannot divide,Cannot divide,No,No Progress,CM224427151
R7,South East,,Tshiamo,Phone Call Only,Multiplication,Beginner,Can at least add,Cannot add,Cannot divide,Cannot divide,No,Regressed,CM224427151
R7,South East,Male,Mokgosi-111,Phone Call Only,Multiplication,Beginner,Can at least add,Cannot add,Cannot divide,Cannot divide,No,Regressed,CM224427151
R7,South East,Male,Diphetogo,Phone Call Only,Subtraction,,Can at least add,,Cannot divide,,,,CM224427151
R7,Kgatleng,Male,Matebele,Phone Call and SMS,Division,,Can at least add,,Can divide,,,,CM224427151
R7,South East,Male,Boswa,Phone Call and SMS,Subtraction,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1810002
R7,Other,,Lesirane,Phone Call and SMS,Beginner,,Cannot add,,Cannot divide,,,,CM224427151
R7,North East,Male,Jackalas No.1,Phone Call Only,Beginner,Division,Cannot add,Can at least add,Cannot divide,Can divide,Yes,Progressed 4 levels,CM224427151
R7,North East,Male,Mapoka,Phone Call Only,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM224427151
R7,Kgatleng,Male,Sikwane,Phone Call and SMS,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM224427151
R7,South East,,Boswa,Phone Call Only,Subtraction,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 2 levels,CM1910114
R7,North East,,Jackalas No.1,Phone Call Only,Subtraction,Beginner,Can at least add,Cannot add,Cannot divide,Cannot divide,No,Regressed,CM2010153
R7,South East,,Ben Thema,Phone Call and SMS,Beginner,Multiplication,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 3 levels,CM2010153
R7,South East,,Boswa,Phone Call Only,Subtraction,,Can at least add,,Cannot divide,,,,CM2010153
R7,Kgatleng,,Mmusi,Phone Call Only,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1810002
R7,North East,Male,Nlaphwane,Phone Call Only,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM2010153
R7,South East,Male,Diphetogo,Phone Call Only,Addition,,Can at least add,,Cannot divide,,,,CM2010153
R7,Kgatleng,,Matebele,Phone Call and SMS,Multiplication,,Can at least add,,Cannot divide,,,,CM2010153
R7,South East,,Tshiamo,Phone Call and SMS,Multiplication,Beginner,Can at least add,Cannot add,Cannot divide,Cannot divide,No,Regressed,CM2010153
R7,Kgatleng,,Matebele,Phone Call Only,Addition,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM2010153
R7,Kgatleng,Male,Oodi,Phone Call and SMS,Beginner,Subtraction,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM2010153
R7,Kgatleng,Male,Mmusi,Phone Call Only,Division,Division,Can at least add,Can at least add,Can divide,Can divide,No,No Progress,CM1910086
R7,Kgatleng,,Matebele,Phone Call Only,Beginner,Beginner,Cannot add,Cannot add,Cannot divide,Cannot divide,No,No Progress,CM2010153
R7,South East,,Tshiamo,Phone Call and SMS,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM2010153
R7,North East,,Moroka,Phone Call Only,Multiplication,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM2010153
R7,North East,Male,Mapoka,Phone Call and SMS,Multiplication,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM2010153
R7,Kgatleng,,Mmusi,Phone Call and SMS,Multiplication,,Can at least add,,Cannot divide,,,,CM2010153
R7,South East,,Mokgosi-111,Phone Call and SMS,.u,,Can at least add,,Cannot divide,,,,CM2010153
R7,North East,,Mapoka,Phone Call and SMS,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM2010153
R7,Kgatleng,,Oodi,Phone Call Only,Beginner,Subtraction,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM2010153
R7,South East,,Boswa,Phone Call and SMS,Subtraction,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM2010153
R7,Kgatleng,Male,Kgabotshwene,Phone Call Only,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM2010153
R7,South East,,Boswa,Phone Call Only,Subtraction,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1910086
R7,North East,,Gulubane,Phone Call Only,Beginner,,Cannot add,,Cannot divide,,,,CM2010153
R7,South East,Male,Boswa,Phone Call Only,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1810002
R7,Kgatleng,Male,Mmusi,Phone Call Only,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM2010153
R7,Kgatleng,,Oodi,Phone Call and SMS,Addition,,Can at least add,,Cannot divide,,,,CM2010153
R7,North East,Male,Ramokgwebana,Phone Call Only,Division,,Can at least add,,Can divide,,,,CM2010153
R7,Kgatleng,,Kgabosereto,Phone Call and SMS,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM2010153
R7,North East,,Lesoma,Phone Call Only,.u,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,,CM2010153
R7,North East,,Ramokgwebana,Phone Call and SMS,Beginner,Addition,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM2010153
R7,North East,,Masingwaneng,Phone Call Only,Addition,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM2010153
R7,Kgatleng,Male,Isang,Phone Call and SMS,Division,Division,Can at least add,Can at least add,Can divide,Can divide,No,No Progress,CM2010153
R7,North East,Male,Moroka,Phone Call and SMS,Division,Division,Can at least add,Can at least add,Can divide,Can divide,No,No Progress,CM1910086
R7,Kgatleng,Male,Mmusi,Phone Call Only,Division,Division,Can at least add,Can at least add,Can divide,Can divide,No,No Progress,CM2010153
R7,Kgatleng,Male,Oodi,Phone Call and SMS,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM2010153
R7,North East,,,Phone Call and SMS,Subtraction,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM229897087
R7,Kgatleng,Male,Kgabotshwene,Phone Call Only,Subtraction,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM229897087
R7,Kgatleng,,Mmusi,Phone Call and SMS,Beginner,Multiplication,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 3 levels,CM229897087
R7,Kgatleng,Male,Oodi,Phone Call Only,Division,Addition,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM229897087
R7,Kgatleng,,Mmusi,Phone Call Only,Subtraction,,Can at least add,,Cannot divide,,,,CM229897087
R7,North East,,Ramokgwebana,Phone Call and SMS,Addition,Beginner,Can at least add,Cannot add,Cannot divide,Cannot divide,No,Regressed,CM229897087
R7,South East,,Ben Thema,Phone Call and SMS,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1810002
R7,North East,Male,Moroka,Phone Call and SMS,Division,Division,Can at least add,Can at least add,Can divide,Can divide,No,No Progress,CM229897087
R7,Kgatleng,,Matebele,Phone Call Only,Division,,Can at least add,,Can divide,,,,CM1910086
R7,North East,Male,Matenge,Phone Call Only,Addition,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM229897087
R7,Kgatleng,,Matebele,Phone Call and SMS,Beginner,,Cannot add,,Cannot divide,,,,CM229897087
R7,Kgatleng,Male,Oodi,Phone Call Only,Subtraction,,Can at least add,,Cannot divide,,,,CM229897087
R7,South East,,Diphetogo,Phone Call Only,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM229897087
R7,South East,Male,Bonewamang,Phone Call and SMS,Subtraction,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM229897087
R7,South East,,Oodi,Phone Call and SMS,Addition,,Can at least add,,Cannot divide,,,,CM229897087
R7,Kgatleng,,Kgabotshwene,Phone Call Only,Addition,,Can at least add,,Cannot divide,,,,CM229897087
R7,South East,Male,Matebele,Phone Call and SMS,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM1910086
R7,North East,Male,Ramokgwebana,Phone Call Only,Multiplication,,Can at least add,,Cannot divide,,,,CM1910086
R7,Kgatleng,Male,Matebele,Phone Call Only,.u,,Can at least add,,Cannot divide,,,,CM1910086
R7,South East,Male,Diphetogo,Phone Call and SMS,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1910086
R7,South East,Male,Matebele,Phone Call and SMS,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM1910086
R7,South East,,Moroka,Phone Call and SMS,Subtraction,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1910114
R7,North East,Male,Nlaphwane,Phone Call Only,Multiplication,,Can at least add,,Cannot divide,,,,CM1910086
R7,Kgatleng,Male,Kgabosereto,Phone Call Only,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1910086
R7,South East,Male,Gulubane,Phone Call and SMS,Multiplication,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM1910086
R7,North East,,Masingwaneng,Phone Call Only,Multiplication,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM1910086
R7,South East,,Tshiamo,Phone Call and SMS,Division,Multiplication,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM229897087
R7,Kgatleng,,Mmusi,Phone Call and SMS,Subtraction,,Can at least add,,Cannot divide,,,,CM1910086
R7,North East,,Nlaphwane,Phone Call Only,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM1910086
R7,South East,Male,Boswa,Phone Call and SMS,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1910086
R7,Kgatleng,,Linchwe,Phone Call and SMS,Multiplication,,Can at least add,,Cannot divide,,,,CM1910086
R7,South East,,Boswa,Phone Call and SMS,Multiplication,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM1910114
R7,North East,Male,Moroka,Phone Call and SMS,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1910086
R7,Kgatleng,Male,Matebele,Phone Call Only,Division,Subtraction,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM1910086
R7,South East,,Boswa,Phone Call and SMS,Beginner,Division,Cannot add,Can at least add,Cannot divide,Can divide,Yes,Progressed 4 levels,CM1910086
R7,Kgatleng,,Kgabosereto,Phone Call Only,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1910086
R7,North East,,Ramokgwebana,Phone Call and SMS,Multiplication,Beginner,Can at least add,Cannot add,Cannot divide,Cannot divide,No,Regressed,CM1910086
R7,North East,,Ramokgwebana,Phone Call Only,Addition,,Can at least add,,Cannot divide,,,,CM229897087
R7,Kgatleng,,Linchwe,Phone Call Only,Division,Division,Can at least add,Can at least add,Can divide,Can divide,No,No Progress,CM1910086
R7,South East,,Diphetogo,Phone Call Only,Beginner,Beginner,Cannot add,Cannot add,Cannot divide,Cannot divide,No,No Progress,CM1910086
R7,Kgatleng,Male,Linchwe,Phone Call Only,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1910114
R7,Other,,Simon-Ratshosa,Phone Call and SMS,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM225310756
R7,Other,Male,Matebele,Phone Call Only,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM225310756
R7,Kgatleng,,Kgabosereto,Phone Call and SMS,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM225310756
R7,North East,Male,Nlaphwane,Phone Call and SMS,Multiplication,,Can at least add,,Cannot divide,,,,CM225310756
R7,North East,Male,Nlaphwane,Phone Call Only,Subtraction,,Can at least add,,Cannot divide,,,,CM225310756
R7,Kgatleng,Male,Linchwe,Phone Call and SMS,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM225310756
R7,South East,,Boswa,Phone Call Only,Addition,,Can at least add,,Cannot divide,,,,CM225310756
R7,Kgatleng,,Isang,Phone Call and SMS,Beginner,Subtraction,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM229897087
R7,North East,,Sechele,Phone Call Only,Multiplication,,Can at least add,,Cannot divide,,,,CM1910114
R7,North East,Male,Jackalas No.1,Phone Call and SMS,Beginner,Multiplication,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 3 levels,CM225310756
R7,South East,,Oodi,Phone Call Only,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM225310756
R7,South East,Male,Boswa,Phone Call Only,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM225310756
R7,South East,Male,Oodi,Phone Call Only,Beginner,,Cannot add,,Cannot divide,,,,CM225310756
R7,South East,,Boswa,Phone Call Only,Multiplication,,Can at least add,,Cannot divide,,,,CM225310756
R7,North East,Male,Ramokgwebana,Phone Call Only,Beginner,Beginner,Cannot add,Cannot add,Cannot divide,Cannot divide,No,No Progress,CM225310756
R7,North East,,Moroka,Phone Call and SMS,Division,,Can at least add,,Can divide,,,,CM225310756
R7,North East,Male,Mapoka,Phone Call and SMS,Division,Division,Can at least add,Can at least add,Can divide,Can divide,No,No Progress,CM225310756
R7,South East,Male,Tshiamo,Phone Call and SMS,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM225310756
R7,Kgatleng,Male,Kgabosereto,Phone Call Only,Subtraction,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM229897087
R7,North East,,Botswelelo,Phone Call and SMS,Subtraction,Beginner,Can at least add,Cannot add,Cannot divide,Cannot divide,No,Regressed,CM1910114
R7,Kgatleng,,Linchwe,Phone Call and SMS,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM225310756
R7,Kgatleng,,Isang,Phone Call and SMS,Addition,,Can at least add,,Cannot divide,,,,CM225310756
R7,South East,,Diphetogo,Phone Call and SMS,Beginner,,Cannot add,,Cannot divide,,,,CM225310756
R7,North East,Male,Mapoka,Phone Call and SMS,Addition,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM225310756
R7,North East,Male,Jackalas No.1,Phone Call and SMS,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM225310756
R7,South East,Male,Boswa,Phone Call and SMS,Beginner,Multiplication,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 3 levels,CM225310756
R7,Kgatleng,,Isang,Phone Call Only,Beginner,Multiplication,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 3 levels,CM225310756
R7,North East,Male,Jackalas No.1,Phone Call Only,Addition,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM225310756
R7,Kgatleng,Male,Kgabosereto,Phone Call Only,Subtraction,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM1910114
R7,North East,Male,Ramokgwebana,Phone Call Only,Division,,Can at least add,,Can divide,,,,CM229897087
R7,Kgatleng,Male,Matebele,Phone Call and SMS,Beginner,Addition,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM225310756
R7,Kgatleng,,Mosi,Phone Call and SMS,Subtraction,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM225310756
R7,North East,Male,Ramokgwebana,Phone Call Only,Subtraction,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM225310756
R7,South East,,Boswa,Phone Call Only,Beginner,,Cannot add,,Cannot divide,,,,CM225310756
R7,Kgatleng,,Oodi,Phone Call Only,Addition,Addition,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM225310756
R7,Kgatleng,,Oodi,Phone Call and SMS,Beginner,Division,Cannot add,Can at least add,Cannot divide,Can divide,Yes,Progressed 4 levels,CM225310756
R7,Other,Male,Jackalas No.1,Phone Call and SMS,Addition,Beginner,Can at least add,Cannot add,Cannot divide,Cannot divide,No,Regressed,CM1810027
R7,South East,,Tshiamo,Phone Call and SMS,.u,,Can at least add,,Cannot divide,,,,CM1810027
R7,Other,,Kgosikgosi,Phone Call and SMS,Multiplication,,Can at least add,,Cannot divide,,,,CM1910114
R7,Kgatleng,Male,Mmusi,Phone Call Only,Beginner,Multiplication,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 3 levels,CM1810027
R7,Other,,Kgosikgosi,Phone Call Only,Subtraction,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 2 levels,CM1810021
R7,North East,,Jackalas No.1,Phone Call and SMS,Subtraction,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 2 levels,CM1810027
R7,Kgatleng,Male,Isang,Phone Call Only,.u,,Can at least add,,Cannot divide,,,,CM1810027
R7,South East,Male,Mokgosi-111,Phone Call and SMS,Division,,Can at least add,,Can divide,,,,CM1810027
R7,Kgatleng,,Matebele,Phone Call Only,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1810027
R7,South East,Male,Tshiamo,Phone Call Only,Division,,Can at least add,,Can divide,,,,CM1810027
R7,Kgatleng,Male,Kgabosereto,Phone Call Only,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM1810027
R7,North East,,,Phone Call and SMS,Beginner,Addition,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM1810027
R7,North East,Male,Jackalas No.1,Phone Call Only,Addition,Beginner,Can at least add,Cannot add,Cannot divide,Cannot divide,No,Regressed,CM1810027
R7,Kgatleng,,Oodi,Phone Call Only,Subtraction,,Can at least add,,Cannot divide,,,,CM1810027
R7,South East,,Diphetogo,Phone Call and SMS,Division,Multiplication,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM1810027
R7,Kgatleng,,Kgabosereto,Phone Call and SMS,Division,Multiplication,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM1810021
R7,Kgatleng,,Matebele,Phone Call Only,.u,,Can at least add,,Cannot divide,,,,CM1810027
R7,South East,Male,Boswa,Phone Call and SMS,.u,,Can at least add,,Cannot divide,,,,CM1810027
R7,Kgatleng,Male,Mmusi,Phone Call and SMS,Division,Division,Can at least add,Can at least add,Can divide,Can divide,No,No Progress,CM1810027
R7,North East,,Jackalas No.1,Phone Call Only,Beginner,Beginner,Cannot add,Cannot add,Cannot divide,Cannot divide,No,No Progress,CM1810027
R7,Other,Male,Kgosikgosi,Phone Call and SMS,Division,Multiplication,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM1810027
R7,North East,,Masingwaneng,Phone Call and SMS,Subtraction,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1810027
R7,Kgatleng,Male,Oodi,Phone Call Only,Division,Division,Can at least add,Can at least add,Can divide,Can divide,No,No Progress,CM1810027
R7,North East,,Ramokgwebana,Phone Call and SMS,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1810027
R7,South East,,Tshiamo,Phone Call and SMS,Beginner,Multiplication,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 3 levels,CM1810027
R7,South East,Male,Matebele,Phone Call Only,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1810027
R7,Other,Male,Ncaang,Phone Call Only,Addition,,Can at least add,,Cannot divide,,,,CM1810021
R7,Other,,Lesoma,Phone Call Only,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1910114
R7,South East,Male,Diphetogo,Phone Call Only,Multiplication,,Can at least add,,Cannot divide,,,,CM1810027
R7,Kgatleng,,Oodi,Phone Call and SMS,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1910088
R7,Kgatleng,,Mmusi,Phone Call and SMS,Beginner,Division,Cannot add,Can at least add,Cannot divide,Can divide,Yes,Progressed 4 levels,CM1910088
R7,Kgatleng,,Sikwane,Phone Call and SMS,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1910088
R7,North East,,Masingwaneng,Phone Call and SMS,Beginner,,Cannot add,,Cannot divide,,,,CM1910088
R7,South East,,Diphetogo,Phone Call Only,Beginner,Multiplication,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 3 levels,CM1910088
R7,Kgatleng,,Matebele,Phone Call Only,Beginner,,Cannot add,,Cannot divide,,,,CM1910088
R7,North East,Male,Moroka,Phone Call Only,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM1910088
R7,North East,Male,Nlaphwane,Phone Call Only,Addition,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM1910088
R7,North East,Male,Moroka,Phone Call Only,Subtraction,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM229897087
R7,North East,Male,Moroka,Phone Call and SMS,Multiplication,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,No,No Progress,CM1810002
R7,Kgatleng,,Linchwe,Phone Call Only,Addition,,Can at least add,,Cannot divide,,,,CM1910114
R7,North East,,Moroka,Phone Call and SMS,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1910088
R7,South East,Male,Boswa,Phone Call Only,Subtraction,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 2 levels,CM1910088
R7,North East,Male,Mapoka,Phone Call Only,Beginner,Multiplication,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 3 levels,CM1910088
R7,Kgatleng,,Oodi,Phone Call and SMS,Addition,,Can at least add,,Cannot divide,,,,CM1910088
R7,North East,Male,,Phone Call Only,Addition,,Can at least add,,Cannot divide,,,,CM1910088
R7,North East,,Mapoka,Phone Call and SMS,Beginner,Division,Cannot add,Can at least add,Cannot divide,Can divide,Yes,Progressed 4 levels,CM1910088
R7,North East,Male,Gulubane,Phone Call and SMS,Division,Division,Can at least add,Can at least add,Can divide,Can divide,No,No Progress,CM1910088
R7,Kgatleng,Male,Matebele,Phone Call Only,Division,Multiplication,Can at least add,Can at least add,Can divide,Cannot divide,No,Regressed,CM1910088
R7,North East,Male,Moroka,Phone Call and SMS,Beginner,Division,Cannot add,Can at least add,Cannot divide,Can divide,Yes,Progressed 4 levels,CM1910088
R7,South East,,Kgosikgosi,Phone Call and SMS,Multiplication,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 1 level,CM1810021
R7,South East,Male,Tshiamo,Phone Call and SMS,Addition,,Can at least add,,Cannot divide,,,,CM1910114
R7,Kgatleng,,Kgabotshwene,Phone Call and SMS,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM1910088
R7,Other,Male,,Phone Call and SMS,Multiplication,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM1910088
R7,North East,Male,Mapoka,Phone Call Only,Multiplication,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM1910088
R7,South East,,Boswa,Phone Call and SMS,Addition,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 2 levels,CM1910088
R7,Kgatleng,,Matebele,Phone Call and SMS,Addition,Division,Can at least add,Can at least add,Cannot divide,Can divide,Yes,Progressed 3 levels,CM1910088
R7,North East,,Ramokgwebana,Phone Call Only,Multiplication,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,Regressed,CM1910088
R7,Kgatleng,,Oodi,Phone Call Only,.u,Subtraction,Can at least add,Can at least add,Cannot divide,Cannot divide,No,,CM1910088
R7,North East,Male,Mapoka,Phone Call Only,Beginner,,Cannot add,,Cannot divide,,,,CM1910088
R7,North East,,Nlaphwane,Phone Call Only,Beginner,Addition,Cannot add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM1910088
R7,South East,Male,Tshiamo,Phone Call and SMS,Subtraction,Multiplication,Can at least add,Can at least add,Cannot divide,Cannot divide,Yes,Progressed 1 level,CM1810021
